unique_id,date,name,category,type,rating,price,average_revenue
132933434563344, 2022-02-09, Seaside Cottage, BeachHouse,Vacation, 4, 73.72, 96677.0
132933434565360, 2022-06-19, Seaside Cottage, BeachHouse,Vacation, 3, 73.95, 89035.0
132933434567568, , Family Farmhouse, Cottage,Vacation, 5, 69.68, 96265.0
132933434566608, 2022-06-09, Seaside Cottage, BeachHouse,Vacation, 5, 81.2, 84203.0
132933434566176, 2022-04-28, Seaside Cottage, BeachHouse,Vacation, 4, 86.45, 99809.0
132933434562864, 2022-03-23, Seaside Cottage, BeachHouse,Vacation, 4, 80.37, 92239.0
132933434563296, 2022-05-02, Seaside Cottage, BeachHouse,Vacation, 4, 79.33, 86942.0
132933434563632, 2022-02-16, Seaside Cottage, BeachHouse,Vacation, , 84.48, 99177.0
132933434562816, , Seaside Cottage, BeachHouse,Vacation, 5, 87.19, 93053.0
132933434565696, 2022-05-14, Seaside Cottage, BeachHouse,Vacation, 3, 83.19, 92546.0
132933434564208, 2022-08-25, Sunset Retreat, BeachHouse,Vacation, 4, 83.63, 96653.0
132932530195232, 2022-04-05, Seaside Cottage, BeachHouse,Vacation, 3, 61.9, 93561.0
132932530201664, 2022-05-10, Seaside Cottage, BeachHouse,Vacation, 4, 67.02, 88203.0
132932530195424, 2022-08-29, Seaside Cottage, BeachHouse,Vacation, 4, 77.61, 94326.0
132932530201040, 2022-04-14, Seaside Cottage, BeachHouse,Vacation, 5, 87.63, 90279.0
132932530195136, 2022-01-12, Seaside Cottage, BeachHouse,Vacation, 5, 69.83, 97286.0
132932530195280, 2022-09-12, Sunset Retreat, BeachHouse,Vacation, 3, 86.04, 81625.0
132932530193840, 2022-06-30, Seaside Cottage, BeachHouse,Vacation, 5, 78.38, 94568.0
132932530200848, 2022-01-17, Seaside Cottage, BeachHouse,Vacation, 5, 90.73, 86646.0
132932530193888, 2022-04-14, Seaside Cottage, BeachHouse,Vacation, 4, 72.66, 89722.0
132932530204544, 2022-04-08, Seaside Cottage, BeachHouse,Vacation, 4, 68.52, 69541.0
132932530198016, 2022-03-28, Seaside Cottage, BeachHouse,Vacation, 4, 80.9, 85785.0
132932530204448, 2022-02-26, Urban Retreat, Cottage,Vacation, 4, 61.53, 99881.0
132932530204496, 2022-01-15, Family Farmhouse, Cottage,Vacation, 4, 81.37, 99310.0
132932530204208, 2022-11-16, Seaside Cottage, BeachHouse,Vacation, 3, 76.69, 87068.0
132932530204400, 2022-01-19, Family Farmhouse, Cottage,Vacation, 5, 75.56, 92395.0
132932530202672, 2022-05-30, Seaside Cottage, BeachHouse,Vacation, 3, 90.8, 83698.0
